Index, Date,Input Day 1,Input Day 2,Input Day 3,Input Day 4,Input Day 5,Input Day 6,Input Day 7,Input Day 8,Input Day 9,Input Day 10,Input Day 11,Input Day 12,Input Day 13,Input Day 14,Input Day 15,Input Day 16,Input Day 17,Input Day 18,Input Day 19,Input Day 20,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Waver, +Waver, Waver +0.5, Waver -0.5, Waver +0.2, Waver -0.2, Waver Sign, +Waver 0.5, +Waver 0.2
1,1991.01.02 00:00,0,0,0,-0.07105719,-0.10051993,-0.45233969,-0.90987868,-0.93240901,0.74213836,0.65408805,-0.43673469,-0.50204082,-0.46530612,-0.70204082,-0.74285714,0.50109409,0.63676149,0.79431072,0.99124726,-0.51977401,0,0,0,0,0,-0.4478022,-0.81043956,-0.8282967,-0.71978022,-0.73901099,-0.81043956,-0.83241758,-0.82005495,-0.89972527,-0.91346154,0.4967462,0.63123644,0.78741866,0.98264642,0.59219089,-0.69727891,0.69727891,0,1,0,1,0,1,1
2,1991.01.03 00:00,0,0,0,0,-0.07105719,-0.10051993,-0.45233969,-0.90987868,-0.93240901,0.74213836,0.65408805,-0.43673469,-0.50204082,-0.46530612,-0.70204082,-0.74285714,0.50109409,0.63676149,0.79431072,0.99124726,0,0,0,0,0,0,-0.4478022,-0.81043956,-0.8282967,-0.71978022,-0.73901099,-0.81043956,-0.83241758,-0.82005495,-0.89972527,-0.91346154,0.4967462,0.63123644,0.78741866,0.98264642,-0.7414966,0.7414966,0,1,0,1,0,1,1
3,1991.01.04 00:00,0,0,0,0,0,-0.07105719,-0.10051993,-0.45233969,-0.90987868,-0.93240901,0.74213836,0.65408805,-0.43673469,-0.50204082,-0.46530612,-0.70204082,-0.74285714,0.50109409,0.63676149,0.79431072,0,0,0,0,0,0,0,-0.4478022,-0.81043956,-0.8282967,-0.71978022,-0.73901099,-0.81043956,-0.83241758,-0.82005495,-0.89972527,-0.91346154,0.4967462,0.63123644,0.78741866,-0.68820862,0.68820862,0,1,0,1,0,1,1
4,1991.01.07 00:00,0,0,0.12967033,0.15384615,0.75824176,0.93406593,-0.07105719,-0.10051993,-0.45233969,-0.90987868,-0.93240901,0.74213836,0.65408805,-0.43673469,-0.50204082,-0.46530612,-0.70204082,-0.74285714,0.50109409,0.63676149,0,0,0,0,0,0,0,0,-0.4478022,-0.81043956,-0.8282967,-0.71978022,-0.73901099,-0.81043956,-0.83241758,-0.82005495,-0.89972527,-0.91346154,0.4967462,0.63123644,-0.49546485,0.49546485,0,0,0,1,0,0,1
5,1991.01.08 00:00,0,0,0,0.12967033,0.15384615,0.75824176,0.93406593,-0.07105719,-0.10051993,-0.45233969,-0.90987868,-0.93240901,0.74213836,0.65408805,-0.43673469,-0.50204082,-0.46530612,-0.70204082,-0.74285714,0.50109409,0,0,0,0,0,0,0,0,0,-0.4478022,-0.81043956,-0.8282967,-0.71978022,-0.73901099,-0.81043956,-0.83241758,-0.82005495,-0.89972527,-0.91346154,0.4967462,-0.31292517,0.31292517,0,0,0,1,0,0,1
6,1991.01.09 00:00,0,0,0,0,0.12967033,0.15384615,0.75824176,0.93406593,-0.07105719,-0.10051993,-0.45233969,-0.90987868,-0.93240901,0.74213836,0.65408805,-0.43673469,-0.50204082,-0.46530612,-0.70204082,-0.74285714,0,0,0,0,0,0,0,0,0,0,-0.4478022,-0.81043956,-0.8282967,-0.71978022,-0.73901099,-0.81043956,-0.83241758,-0.82005495,-0.89972527,-0.91346154,-0.22108844,0.22108844,0,0,0,1,0,0,1
7,1991.01.10 00:00,0,0,0,0,0,0.12967033,0.15384615,0.75824176,0.93406593,-0.07105719,-0.10051993,-0.45233969,-0.90987868,-0.93240901,0.74213836,0.65408805,-0.43673469,-0.50204082,-0.46530612,-0.70204082,0,0,0,0,0,0,0,0,0,0,0,-0.4478022,-0.81043956,-0.8282967,-0.71978022,-0.73901099,-0.81043956,-0.83241758,-0.82005495,-0.89972527,0.73590226,0.73590226,1,0,1,0,1,1,1
8,1991.01.11 00:00,0,0,0,0,0,0,0.12967033,0.15384615,0.75824176,0.93406593,-0.07105719,-0.10051993,-0.45233969,-0.90987868,-0.93240901,0.74213836,0.65408805,-0.43673469,-0.50204082,-0.46530612,0,-0.22108844,-0.31292517,-0.49546485,-0.68820862,-0.7414966,-0.69727891,-0.68480726,-0.37301587,-0.28231293,-0.29478458,-0.31405896,-0.54421769,-0.84353741,-0.85827664,-0.76870748,-0.7845805,-0.84353741,-0.861678,-0.85147392,0.68984962,0.68984962,1,0,1,0,1,1,1
9,1991.01.14 00:00,0,0,0,0,0,0,0,0.12967033,0.15384615,0.75824176,0.93406593,-0.07105719,-0.10051993,-0.45233969,-0.90987868,-0.93240901,0.74213836,0.65408805,-0.43673469,-0.50204082,0,0,-0.22108844,-0.31292517,-0.49546485,-0.68820862,-0.7414966,-0.69727891,-0.68480726,-0.37301587,-0.28231293,-0.29478458,-0.31405896,-0.54421769,-0.84353741,-0.85827664,-0.76870748,-0.7845805,-0.84353741,-0.861678,0.8712406,0.8712406,1,0,1,0,1,1,1
10,1991.01.15 00:00,0,0,0,0,0,0,0,0,0.12967033,0.15384615,0.75824176,0.93406593,-0.07105719,-0.10051993,-0.45233969,-0.90987868,-0.93240901,0.74213836,0.65408805,-0.43673469,0,0,0,-0.22108844,-0.31292517,-0.49546485,-0.68820862,-0.7414966,-0.69727891,-0.68480726,-0.37301587,-0.28231293,-0.29478458,-0.31405896,-0.54421769,-0.84353741,-0.85827664,-0.76870748,-0.7845805,-0.84353741,0.81860902,0.81860902,1,0,1,0,1,1,1
11,1991.01.16 00:00,0,0,0,0,0,0,0,0,0,0.12967033,0.15384615,0.75824176,0.93406593,-0.07105719,-0.10051993,-0.45233969,-0.90987868,-0.93240901,0.74213836,0.65408805,0,0,0,0,-0.22108844,-0.31292517,-0.49546485,-0.68820862,-0.7414966,-0.69727891,-0.68480726,-0.37301587,-0.28231293,-0.29478458,-0.31405896,-0.54421769,-0.84353741,-0.85827664,-0.76870748,-0.7845805,0.82236842,0.82236842,1,0,1,0,1,1,1
12,1991.01.17 00:00,0,0,0,0,0,0,0,0,0,0,0.12967033,0.15384615,0.75824176,0.93406593,-0.07105719,-0.10051993,-0.45233969,-0.90987868,-0.93240901,0.74213836,0,0,0,0,0,-0.22108844,-0.31292517,-0.49546485,-0.68820862,-0.7414966,-0.69727891,-0.68480726,-0.37301587,-0.28231293,-0.29478458,-0.31405896,-0.54421769,-0.84353741,-0.85827664,-0.76870748,0.84022556,0.84022556,1,0,1,0,1,1,1
13,1991.01.18 00:00,0,0,-0.12704174,-0.02540835,-0.37568058,-0.28675136,-0.13067151,-0.27767695,-0.56987296,-0.8784029,-0.96370236,0.12967033,0.15384615,0.75824176,0.93406593,-0.07105719,-0.10051993,-0.45233969,-0.90987868,-0.93240901,0,0,0,0,0,0,-0.22108844,-0.31292517,-0.49546485,-0.68820862,-0.7414966,-0.69727891,-0.68480726,-0.37301587,-0.28231293,-0.29478458,-0.31405896,-0.54421769,-0.84353741,-0.85827664,0.56484962,0.56484962,1,0,1,0,1,1,1
14,1991.01.21 00:00,0,0,0,-0.12704174,-0.02540835,-0.37568058,-0.28675136,-0.13067151,-0.27767695,-0.56987296,-0.8784029,-0.96370236,0.12967033,0.15384615,0.75824176,0.93406593,-0.07105719,-0.10051993,-0.45233969,-0.90987868,0,0,0,0,0,0,0,-0.22108844,-0.31292517,-0.49546485,-0.68820862,-0.7414966,-0.69727891,-0.68480726,-0.37301587,-0.28231293,-0.29478458,-0.31405896,-0.54421769,-0.84353741,0.5056391,0.5056391,1,0,1,0,1,1,1
15,1991.01.22 00:00,0,0,0,0,-0.12704174,-0.02540835,-0.37568058,-0.28675136,-0.13067151,-0.27767695,-0.56987296,-0.8784029,-0.96370236,0.12967033,0.15384615,0.75824176,0.93406593,-0.07105719,-0.10051993,-0.45233969,0,0.31407407,0.74814815,0.72,0.71407407,0.79703704,0.51111111,0.5837037,-0.22108844,-0.31292517,-0.49546485,-0.68820862,-0.7414966,-0.69727891,-0.68480726,-0.37301587,-0.28231293,-0.29478458,-0.31405896,-0.54421769,0.39003759,0.39003759,0,0,1,0,1,0,1
16,1991.01.23 00:00,0,0,0,0,0,-0.12704174,-0.02540835,-0.37568058,-0.28675136,-0.13067151,-0.27767695,-0.56987296,-0.8784029,-0.96370236,0.12967033,0.15384615,0.75824176,0.93406593,-0.07105719,-0.10051993,0,0.22986823,0.32210835,0.7510981,0.72327965,0.71742313,0.79941435,0.51683748,0.5885798,-0.22108844,-0.31292517,-0.49546485,-0.68820862,-0.7414966,-0.69727891,-0.68480726,-0.37301587,-0.28231293,-0.29478458,-0.31405896,0.45206767,0.45206767,0,0,1,0,1,0,1
17,1991.01.24 00:00,0,0,0,0,0,0,-0.12704174,-0.02540835,-0.37568058,-0.28675136,-0.13067151,-0.27767695,-0.56987296,-0.8784029,-0.96370236,0.12967033,0.15384615,0.75824176,0.93406593,-0.07105719,0,0.09735744,0.26842837,0.35605007,0.7635605,0.73713491,0.73157163,0.80945758,0.54102921,0.60917942,-0.22108844,-0.31292517,-0.49546485,-0.68820862,-0.7414966,-0.69727891,-0.68480726,-0.37301587,-0.28231293,-0.29478458,0.33270677,0.33270677,0,0,1,0,1,0,1
18,1991.01.25 00:00,0,0,0,0,0,0,0,-0.12704174,-0.02540835,-0.37568058,-0.28675136,-0.13067151,-0.27767695,-0.56987296,-0.8784029,-0.96370236,0.12967033,0.15384615,0.75824176,0.93406593,0,0.20680272,0.1170068,0.28435374,0.37006803,0.76870748,0.74285714,0.73741497,0.81360544,0.55102041,0.61768707,-0.22108844,-0.31292517,-0.49546485,-0.68820862,-0.7414966,-0.69727891,-0.68480726,-0.37301587,-0.28231293,0.36654135,0.36654135,0,0,1,0,1,0,1
19,1991.01.28 00:00,0,0,0.24836601,0.14052288,0.34150327,0.44444444,0.92320261,0.89215686,-0.12704174,-0.02540835,-0.37568058,-0.28675136,-0.13067151,-0.27767695,-0.56987296,-0.8784029,-0.96370236,0.12967033,0.15384615,0.75824176,0,0,0.20680272,0.1170068,0.28435374,0.37006803,0.76870748,0.74285714,0.73741497,0.81360544,0.55102041,0.61768707,-0.22108844,-0.31292517,-0.49546485,-0.68820862,-0.7414966,-0.69727891,-0.68480726,-0.37301587,0.39755639,0.39755639,0,0,1,0,1,0,1
20,1991.01.29 00:00,0,0,0,0.24836601,0.14052288,0.34150327,0.44444444,0.92320261,0.89215686,-0.12704174,-0.02540835,-0.37568058,-0.28675136,-0.13067151,-0.27767695,-0.56987296,-0.8784029,-0.96370236,0.12967033,0.15384615,0,0,0,0.20680272,0.1170068,0.28435374,0.37006803,0.76870748,0.74285714,0.73741497,0.81360544,0.55102041,0.61768707,-0.22108844,-0.31292517,-0.49546485,-0.68820862,-0.7414966,-0.69727891,-0.68480726,0.3862782,0.3862782,0,0,1,0,1,0,1
21,1991.01.30 00:00,0,0,0,0,0.24836601,0.14052288,0.34150327,0.44444444,0.92320261,0.89215686,-0.12704174,-0.02540835,-0.37568058,-0.28675136,-0.13067151,-0.27767695,-0.56987296,-0.8784029,-0.96370236,0.12967033,0,0,0,0,0.20680272,0.1170068,0.28435374,0.37006803,0.76870748,0.74285714,0.73741497,0.81360544,0.55102041,0.61768707,-0.22108844,-0.31292517,-0.49546485,-0.68820862,-0.7414966,-0.69727891,0.43703008,0.43703008,0,0,1,0,1,0,1
22,1991.01.31 00:00,0,0,0,0,0,0.24836601,0.14052288,0.34150327,0.44444444,0.92320261,0.89215686,-0.12704174,-0.02540835,-0.37568058,-0.28675136,-0.13067151,-0.27767695,-0.56987296,-0.8784029,-0.96370236,0,0,0,0,0,0.20680272,0.1170068,0.28435374,0.37006803,0.76870748,0.74285714,0.73741497,0.81360544,0.55102041,0.61768707,-0.22108844,-0.31292517,-0.49546485,-0.68820862,-0.7414966,0.39097744,0.39097744,0,0,1,0,1,0,1
23,1991.02.01 00:00,0,0,-0.55913978,-0.49462366,-0.67204301,-0.8655914,0.24836601,0.14052288,0.34150327,0.44444444,0.92320261,0.89215686,-0.12704174,-0.02540835,-0.37568058,-0.28675136,-0.13067151,-0.27767695,-0.56987296,-0.8784029,0,0.23007712,0.16066838,0.17609254,0.13367609,0.0874036,0.25064267,0.16580977,0.32390746,0.40488432,0.781491,0.75706941,0.75192802,0.82390746,0.57583548,0.63881748,-0.22108844,-0.31292517,-0.49546485,-0.68820862,0.29229323,0.29229323,0,0,1,0,1,0,1
24,1991.02.04 00:00,0,0,0,-0.55913978,-0.49462366,-0.67204301,-0.8655914,0.24836601,0.14052288,0.34150327,0.44444444,0.92320261,0.89215686,-0.12704174,-0.02540835,-0.37568058,-0.28675136,-0.13067151,-0.27767695,-0.56987296,0,0.25,0.30671296,0.24421296,0.25810185,0.21990741,0.17824074,0.32523148,0.24884259,0.3912037,0.46412037,0.80324074,0.78125,0.77662037,0.84143519,0.61805556,0.67476852,-0.22108844,-0.31292517,-0.49546485,0.19360902,0.19360902,0,0,0,0,1,0,0
25,1991.02.05 00:00,0,0,0,0,-0.55913978,-0.49462366,-0.67204301,-0.8655914,0.24836601,0.14052288,0.34150327,0.44444444,0.92320261,0.89215686,-0.12704174,-0.02540835,-0.37568058,-0.28675136,-0.13067151,-0.27767695,0,0.19808307,0.30990415,0.36208733,0.30457934,0.31735889,0.28221512,0.24387646,0.37912673,0.30883919,0.43982961,0.50692226,0.81895634,0.79872204,0.79446219,0.85410011,0.6485623,0.70074547,-0.22108844,-0.31292517,0.16259398,0.16259398,0,0,0,0,1,0,0
26,1991.02.06 00:00,0,0,0,0,0,-0.55913978,-0.49462366,-0.67204301,-0.8655914,0.24836601,0.14052288,0.34150327,0.44444444,0.92320261,0.89215686,-0.12704174,-0.02540835,-0.37568058,-0.28675136,-0.13067151,0,0.08723404,0.19893617,0.3106383,0.36276596,0.30531915,0.31808511,0.28297872,0.24468085,0.37978723,0.30957447,0.44042553,0.50744681,0.81914894,0.79893617,0.79468085,0.85425532,0.64893617,0.70106383,-0.22108844,0.1362782,0.1362782,0,0,0,0,1,0,0
27,1991.02.07 00:00,0,0,0,0,0,0,-0.55913978,-0.49462366,-0.67204301,-0.8655914,0.24836601,0.14052288,0.34150327,0.44444444,0.92320261,0.89215686,-0.12704174,-0.02540835,-0.37568058,-0.28675136,0,0.13326848,0.16536965,0.26750973,0.36964981,0.41731518,0.36478599,0.37645914,0.34435798,0.30933852,0.43287938,0.36867704,0.48832685,0.54961089,0.83463035,0.81614786,0.81225681,0.86673152,0.67898833,0.7266537,0.05075188,0.05075188,0,0,0,0,1,0,0
28,1991.02.08 00:00,0,0,0,0,0,0,0,-0.55913978,-0.49462366,-0.67204301,-0.8655914,0.24836601,0.14052288,0.34150327,0.44444444,0.92320261,0.89215686,-0.12704174,-0.02540835,-0.37568058,0,0,0.13326848,0.16536965,0.26750973,0.36964981,0.41731518,0.36478599,0.37645914,0.34435798,0.30933852,0.43287938,0.36867704,0.48832685,0.54961089,0.83463035,0.81614786,0.81225681,0.86673152,0.67898833,0.09962406,0.09962406,0,0,0,0,1,0,0
29,1991.02.11 00:00,0,0,0.22268908,0.28151261,0.35084034,0.57142857,0.79201681,0.89495798,-0.55913978,-0.49462366,-0.67204301,-0.8655914,0.24836601,0.14052288,0.34150327,0.44444444,0.92320261,0.89215686,-0.12704174,-0.02540835,0,0,0,0.13326848,0.16536965,0.26750973,0.36964981,0.41731518,0.36478599,0.37645914,0.34435798,0.30933852,0.43287938,0.36867704,0.48832685,0.54961089,0.83463035,0.81614786,0.81225681,0.86673152,-0.94881737,0.94881737,0,1,0,1,0,1,1
30,1991.02.12 00:00,0,0,-0.8880597,0.22268908,0.28151261,0.35084034,0.57142857,0.79201681,0.89495798,-0.55913978,-0.49462366,-0.67204301,-0.8655914,0.24836601,0.14052288,0.34150327,0.44444444,0.92320261,0.89215686,-0.12704174,0,0.09962406,0.05075188,0.1362782,0.16259398,0.19360902,0.29229323,0.39097744,0.43703008,0.3862782,0.39755639,0.36654135,0.33270677,0.45206767,0.39003759,0.5056391,0.56484962,0.84022556,0.82236842,0.81860902,-0.9926328,0.9926328,0,1,0,1,0,1,1
31,1991.02.13 00:00,0,0,0,-0.8880597,0.22268908,0.28151261,0.35084034,0.57142857,0.79201681,0.89495798,-0.55913978,-0.49462366,-0.67204301,-0.8655914,0.24836601,0.14052288,0.34150327,0.44444444,0.92320261,0.89215686,0,0,0.09962406,0.05075188,0.1362782,0.16259398,0.19360902,0.29229323,0.39097744,0.43703008,0.3862782,0.39755639,0.36654135,0.33270677,0.45206767,0.39003759,0.5056391,0.56484962,0.84022556,0.82236842,-0.96044979,0.96044979,0,1,0,1,0,1,1
32,1991.02.14 00:00,0,0,0.73376623,0.56493506,-0.8880597,0.22268908,0.28151261,0.35084034,0.57142857,0.79201681,0.89495798,-0.55913978,-0.49462366,-0.67204301,-0.8655914,0.24836601,0.14052288,0.34150327,0.44444444,0.92320261,0,0,0,0.09962406,0.05075188,0.1362782,0.16259398,0.19360902,0.29229323,0.39097744,0.43703008,0.3862782,0.39755639,0.36654135,0.33270677,0.45206767,0.39003759,0.5056391,0.56484962,0.84022556,-0.92322606,0.92322606,0,1,0,1,0,1,1
33,1991.02.15 00:00,0,0,0,0.73376623,0.56493506,-0.8880597,0.22268908,0.28151261,0.35084034,0.57142857,0.79201681,0.89495798,-0.55913978,-0.49462366,-0.67204301,-0.8655914,0.24836601,0.14052288,0.34150327,0.44444444,0,0,0,0,0.09962406,0.05075188,0.1362782,0.16259398,0.19360902,0.29229323,0.39097744,0.43703008,0.3862782,0.39755639,0.36654135,0.33270677,0.45206767,0.39003759,0.5056391,0.56484962,-0.91857309,0.91857309,0,1,0,1,0,1,1
34,1991.02.18 00:00,0,0,0,0,0.73376623,0.56493506,-0.8880597,0.22268908,0.28151261,0.35084034,0.57142857,0.79201681,0.89495798,-0.55913978,-0.49462366,-0.67204301,-0.8655914,0.24836601,0.14052288,0.34150327,0,0,0,0,0,0.09962406,0.05075188,0.1362782,0.16259398,0.19360902,0.29229323,0.39097744,0.43703008,0.3862782,0.39755639,0.36654135,0.33270677,0.45206767,0.39003759,0.5056391,-0.88212485,0.88212485,0,1,0,1,0,1,1
35,1991.02.19 00:00,0,0,0,0,0,0.73376623,0.56493506,-0.8880597,0.22268908,0.28151261,0.35084034,0.57142857,0.79201681,0.89495798,-0.55913978,-0.49462366,-0.67204301,-0.8655914,0.24836601,0.14052288,0,-0.43850267,-0.47058824,-0.72727273,-0.94919786,-0.64705882,0.09962406,0.05075188,0.1362782,0.16259398,0.19360902,0.29229323,0.39097744,0.43703008,0.3862782,0.39755639,0.36654135,0.33270677,0.45206767,0.39003759,-0.86351299,0.86351299,0,1,0,1,0,1,1
36,1991.02.20 00:00,0,0,0,0,0,0,0.73376623,0.56493506,-0.8880597,0.22268908,0.28151261,0.35084034,0.57142857,0.79201681,0.89495798,-0.55913978,-0.49462366,-0.67204301,-0.8655914,0.24836601,0,-0.36534447,-0.56158664,-0.58663883,-0.78705637,-0.96033403,-0.72442589,0.09962406,0.05075188,0.1362782,0.16259398,0.19360902,0.29229323,0.39097744,0.43703008,0.3862782,0.39755639,0.36654135,0.33270677,0.45206767,-0.82435052,0.82435052,0,1,0,1,0,1,1
37,1991.02.21 00:00,0,0,0,0,0,0,0,0.73376623,0.56493506,-0.8880597,0.22268908,0.28151261,0.35084034,0.57142857,0.79201681,0.89495798,-0.55913978,-0.49462366,-0.67204301,-0.8655914,0,-0.30434783,-0.39920949,-0.58498024,-0.60869565,-0.79841897,-0.96245059,-0.73913043,0.09962406,0.05075188,0.1362782,0.16259398,0.19360902,0.29229323,0.39097744,0.43703008,0.3862782,0.39755639,0.36654135,0.33270677,-0.81930981,0.81930981,0,1,0,1,0,1,1
38,1991.02.22 00:00,0,0,-0.31622177,-0.41478439,-0.60780287,-0.63244353,-0.82956879,-1,0.73376623,0.56493506,-0.8880597,0.22268908,0.28151261,0.35084034,0.57142857,0.79201681,0.89495798,-0.55913978,-0.49462366,-0.67204301,0,0,-0.30434783,-0.39920949,-0.58498024,-0.60869565,-0.79841897,-0.96245059,-0.73913043,0.09962406,0.05075188,0.1362782,0.16259398,0.19360902,0.29229323,0.39097744,0.43703008,0.3862782,0.39755639,0.36654135,-0.82706475,0.82706475,0,1,0,1,0,1,1
39,1991.02.25 00:00,0,0.70588235,0.61029412,-0.31622177,-0.41478439,-0.60780287,-0.63244353,-0.82956879,-1,0.73376623,0.56493506,-0.8880597,0.22268908,0.28151261,0.35084034,0.57142857,0.79201681,0.89495798,-0.55913978,-0.49462366,0,0,0,0,0,0,0,0,0,0,0.09962406,0.05075188,0.1362782,0.16259398,0.19360902,0.29229323,0.39097744,0.43703008,0.3862782,0.39755639,-0.77045366,0.77045366,0,1,0,1,0,1,1
40,1991.02.26 00:00,0,0,0.70588235,0.61029412,-0.31622177,-0.41478439,-0.60780287,-0.63244353,-0.82956879,-1,0.73376623,0.56493506,-0.8880597,0.22268908,0.28151261,0.35084034,0.57142857,0.79201681,0.89495798,-0.55913978,0,-0.3814147,-0.35367545,-0.37170596,-0.51178918,-0.57836338,-0.70873786,-0.72538141,-0.85852982,-0.97364771,-0.81692094,0.09962406,0.05075188,0.1362782,0.16259398,0.19360902,0.29229323,0.39097744,0.43703008,0.3862782,-0.73322993,0.73322993,0,1,0,1,0,1,1
41,1991.02.27 00:00,0,0,0,0.70588235,0.61029412,-0.31622177,-0.41478439,-0.60780287,-0.63244353,-0.82956879,-1,0.73376623,0.56493506,-0.8880597,0.22268908,0.28151261,0.35084034,0.57142857,0.79201681,0.89495798,0,-0.21589404,-0.40927152,-0.38278146,-0.4,-0.53377483,-0.59735099,-0.7218543,-0.73774834,-0.86490066,-0.97483444,-0.82516556,0.09962406,0.05075188,0.1362782,0.16259398,0.19360902,0.29229323,0.39097744,0.43703008,-0.72508724,0.72508724,0,1,0,1,0,1,1
42,1991.02.28 00:00,0,0,0,0,0.70588235,0.61029412,-0.31622177,-0.41478439,-0.60780287,-0.63244353,-0.82956879,-1,0.73376623,0.56493506,-0.8880597,0.22268908,0.28151261,0.35084034,0.57142857,0.79201681,0,0,-0.21589404,-0.40927152,-0.38278146,-0.4,-0.53377483,-0.59735099,-0.7218543,-0.73774834,-0.86490066,-0.97483444,-0.82516556,0.09962406,0.05075188,0.1362782,0.16259398,0.19360902,0.29229323,0.39097744,-0.73012796,0.73012796,0,1,0,1,0,1,1
43,1991.03.01 00:00,0,0,0,0,0,0.70588235,0.61029412,-0.31622177,-0.41478439,-0.60780287,-0.63244353,-0.82956879,-1,0.73376623,0.56493506,-0.8880597,0.22268908,0.28151261,0.35084034,0.57142857,0,-0.06216931,-0.08994709,-0.21693122,-0.41005291,-0.38359788,-0.40079365,-0.53439153,-0.5978836,-0.72222222,-0.73809524,-0.86507937,-0.97486772,-0.82539683,0.09962406,0.05075188,0.1362782,0.16259398,0.19360902,0.29229323,-0.71810779,0.71810779,0,1,0,1,0,1,1
44,1991.03.04 00:00,0,0,0,0,0,0,0.70588235,0.61029412,-0.31622177,-0.41478439,-0.60780287,-0.63244353,-0.82956879,-1,0.73376623,0.56493506,-0.8880597,0.22268908,0.28151261,0.35084034,0,-0.18213866,-0.16686251,-0.19153937,-0.30434783,-0.47591069,-0.45240893,-0.46768508,-0.58636898,-0.64277321,-0.75323149,-0.76733255,-0.88014101,-0.97767333,-0.84488837,0.09962406,0.05075188,0.1362782,0.16259398,0.19360902,-0.67933307,0.67933307,0,1,0,1,0,1,1
45,1991.03.05 00:00,0,0,0,0,0,0,0,0.70588235,0.61029412,-0.31622177,-0.41478439,-0.60780287,-0.63244353,-0.82956879,-1,0.73376623,0.56493506,-0.8880597,0.22268908,0.28151261,0,-0.17667044,-0.21177803,-0.19705549,-0.22083805,-0.32955832,-0.49490374,-0.47225368,-0.48697622,-0.601359,-0.65571914,-0.76217441,-0.77576444,-0.88448471,-0.97848245,-0.85050963,0.09962406,0.05075188,0.1362782,0.16259398,-0.69329197,0.69329197,0,1,0,1,0,1,1
46,1991.03.06 00:00,0,0,0,0,0,0,0,0,0.70588235,0.61029412,-0.31622177,-0.41478439,-0.60780287,-0.63244353,-0.82956879,-1,0.73376623,0.56493506,-0.8880597,0.22268908,0,-0.07182941,-0.18406285,-0.21885522,-0.20426487,-0.22783389,-0.335578,-0.49943883,-0.47699214,-0.49158249,-0.60493827,-0.65881033,-0.76430976,-0.77777778,-0.88552189,-0.97867565,-0.85185185,0.09962406,0.05075188,0.1362782,-0.66382319,0.66382319,0,1,0,1,0,1,1
47,1991.03.07 00:00,0,0,0,0,0,0,0,0,0,0.70588235,0.61029412,-0.31622177,-0.41478439,-0.60780287,-0.63244353,-0.82956879,-1,0.73376623,0.56493506,-0.8880597,0,-0.16029724,-0.12208068,-0.22823779,-0.2611465,-0.24734607,-0.26963907,-0.37154989,-0.52653928,-0.50530786,-0.51910828,-0.62632696,-0.67728238,-0.77707006,-0.78980892,-0.89171975,-0.97983015,-0.85987261,0.09962406,0.05075188,-0.67778209,0.67778209,0,1,0,1,0,1,1
