Index,Date,Yesterday,Last Week,Last Month,Last Year,YO,YH,YL,YC,Open,LWO,LWH,LWL,LWC,Hour,Day,ATRW,ATRM,ATRY,MAW,MAM,MAY,Tenkansen,Kijunsen,Span A,Span B,Waver,+Waver,Waver +0.5,Waver -0.5,Waver +0.2,Waver -0.2,Waver Sign,+Waver 0.5,+Waver 0.2
1,1991.01.02 00:00,1990.12.31 00:00,1990.12.14 00:00,1990.11.26 00:00,1990.01.02 00:00,1.3089,1.3135,1.2983,1.3113,1.31,1.3229,1.3255,1.3135,1.3182,0,3,0.01660909,0.01452,0.01137938,1.3001,1.307808,1.21394202,1.296,1.3003,1.315975,1.28,-0.69727891,0.69727891,0,1,0,1,0,1,1
2,1991.01.03 00:00,1991.01.02 00:00,1990.12.21 00:00,1990.11.27 00:00,1990.01.03 00:00,1.31,1.3165,1.305,1.3153,1.3139,1.2965,1.299,1.277,1.2792,0,4,0.01738571,0.0146,0.0113323,1.29118571,1.307844,1.21461401,1.296,1.3003,1.315475,1.28,-0.7414966,0.7414966,0,1,0,1,0,1,1
3,1991.01.04 00:00,1991.01.03 00:00,1990.12.21 00:00,1990.11.28 00:00,1990.01.04 00:00,1.3139,1.3159,1.3078,1.3094,1.3092,1.2965,1.299,1.277,1.2792,0,5,0.016225,0.014384,0.01131673,1.2934625,1.307372,1.21530856,1.29465,1.3003,1.31415,1.28395,-0.68820862,0.68820862,0,1,0,1,0,1,1
4,1991.01.07 00:00,1991.01.04 00:00,1990.12.21 00:00,1990.11.29 00:00,1990.01.05 00:00,1.3092,1.3123,1.2968,1.3,1.2922,1.2965,1.299,1.277,1.2792,0,1,0.01614444,0.01454,0.01121401,1.29418889,1.306776,1.21582529,1.2902,1.3003,1.31415,1.28395,-0.49546485,0.49546485,0,0,0,1,0,0,1
5,1991.01.08 00:00,1991.01.07 00:00,1990.12.21 00:00,1990.11.30 00:00,1990.01.08 00:00,1.2922,1.2943,1.2682,1.2756,1.2761,1.2965,1.299,1.277,1.2792,0,2,0.01771,0.014848,0.01126693,1.29233,1.305868,1.2162786,1.2902,1.3003,1.31415,1.28395,-0.31292517,0.31292517,0,0,0,1,0,0,1
6,1991.01.09 00:00,1991.01.08 00:00,1990.12.28 00:00,1990.12.03 00:00,1990.01.09 00:00,1.2761,1.2785,1.2662,1.268,1.268,1.2814,1.31,1.2804,1.3091,0,3,0.01771429,0.014812,0.01123735,1.29838571,1.304284,1.21665019,1.29135,1.3003,1.310525,1.28395,-0.22108844,0.22108844,0,0,0,1,0,0,1
7,1991.01.10 00:00,1991.01.09 00:00,1990.12.28 00:00,1990.12.04 00:00,1990.01.10 00:00,1.268,1.2943,1.2655,1.2753,1.2766,1.2814,1.31,1.2804,1.3091,0,4,0.0191,0.015172,0.011293,1.2955,1.303672,1.21707082,1.291,1.3003,1.30955,1.28395,0.73590226,0.73590226,1,0,1,0,1,1,1
8,1991.01.11 00:00,1991.01.10 00:00,1990.12.28 00:00,1990.12.05 00:00,1990.01.11 00:00,1.2766,1.2917,1.2485,1.2813,1.2815,1.2814,1.31,1.2804,1.3091,0,5,0.02177778,0.016276,0.01141479,1.29392222,1.302876,1.21753307,1.2825,1.2926,1.30855,1.2857,0.68984962,0.68984962,1,0,1,0,1,1,1
9,1991.01.14 00:00,1991.01.11 00:00,1990.12.28 00:00,1990.12.06 00:00,1990.01.12 00:00,1.2815,1.2836,1.2722,1.2775,1.2622,1.2814,1.31,1.2804,1.3091,0,1,0.02074,0.016344,0.01141907,1.29228,1.301768,1.21797704,1.2825,1.2926,1.307775,1.2861,0.8712406,0.8712406,1,0,1,0,1,1,1
10,1991.01.15 00:00,1991.01.14 00:00,1991.01.04 00:00,1990.12.07 00:00,1990.01.15 00:00,1.2622,1.2707,1.2583,1.2666,1.2678,1.3092,1.3123,1.2968,1.3,0,2,0.02317143,0.016592,0.01144942,1.27775714,1.29988,1.21839455,1.2825,1.2926,1.30795,1.28755,0.81860902,0.81860902,1,0,1,0,1,1,1
